class_idx,class_name,attack,epsilon,accuracy,model
3,cat,PGD,0.00784313725490196,15.5,Adversarial Model
4,deer,PGD,0.00784313725490196,31.3,Adversarial Model
5,dog,PGD,0.00784313725490196,44.5,Adversarial Model
6,frog,PGD,0.00784313725490196,73.4,Adversarial Model
7,horse,PGD,0.00784313725490196,60.3,Adversarial Model
8,ship,PGD,0.00784313725490196,77.0,Adversarial Model
9,truck,PGD,0.00784313725490196,61.9,Adversarial Model
0,airplane,PGD,0.01568627450980392,49.9,Adversarial Model
1,automobile,PGD,0.01568627450980392,58.7,Adversarial Model
2,bird,PGD,0.01568627450980392,24.8,Adversarial Model
3,cat,PGD,0.01568627450980392,13.8,Adversarial Model
4,deer,PGD,0.01568627450980392,27.2,Adversarial Model
5,dog,PGD,0.01568627450980392,39.4,Adversarial Model
6,frog,PGD,0.01568627450980392,67.5,Adversarial Model
7,horse,PGD,0.01568627450980392,52.7,Adversarial Model
8,ship,PGD,0.01568627450980392,71.9,Adversarial Model
9,truck,PGD,0.01568627450980392,56.9,Adversarial Model
0,airplane,PGD,0.03137254901960784,41.2,Adversarial Model
1,automobile,PGD,0.03137254901960784,48.6,Adversarial Model
2,bird,PGD,0.03137254901960784,16.5,Adversarial Model
3,cat,PGD,0.03137254901960784,8.9,Adversarial Model
4,deer,PGD,0.03137254901960784,18.9,Adversarial Model
5,dog,PGD,0.03137254901960784,31.2,Adversarial Model
6,frog,PGD,0.03137254901960784,52.1,Adversarial Model
7,horse,PGD,0.03137254901960784,41.2,Adversarial Model
8,ship,PGD,0.03137254901960784,62.9,Adversarial Model
9,truck,PGD,0.03137254901960784,46.0,Adversarial Model
0,airplane,FGSM,0.00784313725490196,60.0,FGSM Adversarial Model
1,automobile,FGSM,0.00784313725490196,66.7,FGSM Adversarial Model
2,bird,FGSM,0.00784313725490196,28.9,FGSM Adversarial Model
3,cat,FGSM,0.00784313725490196,13.4,FGSM Adversarial Model
4,deer,FGSM,0.00784313725490196,32.8,FGSM Adversarial Model
5,dog,FGSM,0.00784313725490196,46.8,FGSM Adversarial Model
6,frog,FGSM,0.00784313725490196,73.2,FGSM Adversarial Model
7,horse,FGSM,0.00784313725490196,61.1,FGSM Adversarial Model
8,ship,FGSM,0.00784313725490196,78.1,FGSM Adversarial Model
9,truck,FGSM,0.00784313725490196,62.6,FGSM Adversarial Model
0,airplane,FGSM,0.01568627450980392,54.1,FGSM Adversarial Model
1,automobile,FGSM,0.01568627450980392,61.8,FGSM Adversarial Model
2,bird,FGSM,0.01568627450980392,24.3,FGSM Adversarial Model
3,cat,FGSM,0.01568627450980392,11.4,FGSM Adversarial Model
4,deer,FGSM,0.01568627450980392,28.3,FGSM Adversarial Model
5,dog,FGSM,0.01568627450980392,43.0,FGSM Adversarial Model
6,frog,FGSM,0.01568627450980392,68.2,FGSM Adversarial Model
