epoch,total_loss,natural_loss,robust_loss,clean_test_acc,beta,epsilon,alpha,steps
1,2.5635413761380352,2.2233365004575707,0.05670081478649679,27.45,6.0,0.03137254901960784,0.00784313725490196,10
2,2.1233349102961867,1.998299764681466,0.020839191395553607,25.5375,6.0,0.03137254901960784,0.00784313725490196,10
3,2.079552673086335,1.9477745732174645,0.021963017815841906,27.8625,6.0,0.03137254901960784,0.00784313725490196,10
4,1.978474939925761,1.8339979210986366,0.024079503090698506,29.525,6.0,0.03137254901960784,0.00784313725490196,10
5,1.9619908830787562,1.8119654700725893,0.025004234954809086,36.9625,6.0,0.03137254901960784,0.00784313725490196,10
6,1.932980326157582,1.785702334174627,0.024546331737803507,34.3375,6.0,0.03137254901960784,0.00784313725490196,10
7,1.9028626242770423,1.747862293750425,0.02583338933277734,33.2,6.0,0.03137254901960784,0.00784313725490196,10
8,1.9127653037445456,1.740016706382172,0.028791433058773415,34.875,6.0,0.03137254901960784,0.00784313725490196,10
9,1.890934121759632,1.7373421418515942,0.025598662716772736,38.4625,6.0,0.03137254901960784,0.00784313725490196,10
10,1.848453493057927,1.6811804877051824,0.027878834146864807,37.6125,6.0,0.03137254901960784,0.00784313725490196,10
11,1.8327448262444026,1.658402940894984,0.029056981135206886,36.425,6.0,0.03137254901960784,0.00784313725490196,10
12,1.9001808905903297,1.725060687789434,0.02918670088335683,30.4375,6.0,0.03137254901960784,0.00784313725490196,10
13,1.8545054695274257,1.6872504315798795,0.027875841276932368,40.1875,6.0,0.03137254901960784,0.00784313725490196,10
14,1.808676263954066,1.636371763446663,0.028717416114633597,39.3625,6.0,0.03137254901960784,0.00784313725490196,10
15,1.7920444238034985,1.6111754058282586,0.030144837625984904,40.8125,6.0,0.03137254901960784,0.00784313725490196,10
16,1.8335585398010061,1.6327418043643613,0.03346945682564114,39.5625,6.0,0.03137254901960784,0.00784313725490196,10
17,1.8044659095474436,1.6254882933218269,0.029829602240573003,36.05,6.0,0.03137254901960784,0.00784313725490196,10
18,1.7740592217143578,1.5861857676807838,0.03131224092426179,42.7,6.0,0.03137254901960784,0.00784313725490196,10
19,1.7680033264280874,1.5750781901275055,0.03215419034226031,44.3875,6.0,0.03137254901960784,0.00784313725490196,10
20,1.779562827907031,1.5960445283334466,0.030586383010767684,43.525,6.0,0.03137254901960784,0.00784313725490196,10
21,1.7457119543341142,1.5423371263697176,0.03389580503011806,42.05,6.0,0.03137254901960784,0.00784313725490196,10
22,1.741807889334763,1.5387710891192472,0.03383946557871149,34.1125,6.0,0.03137254901960784,0.00784313725490196,10
23,1.7524076473863819,1.532082126110415,0.03672091938743863,38.6125,6.0,0.03137254901960784,0.00784313725490196,10
24,1.747354528571986,1.5517473688608483,0.03260119313586362,45.8125,6.0,0.03137254901960784,0.00784313725490196,10
25,1.7020484707023524,1.4769049158579186,0.03752392650687996,47.2,6.0,0.03137254901960784,0.00784313725490196,10
26,1.6765246723271623,1.4561077884480924,0.03673614679446703,46.35,6.0,0.03137254901960784,0.00784313725490196,10
27,1.695950859709631,1.4569515155840524,0.03983322391875937,43.45,6.0,0.03137254901960784,0.00784313725490196,10
28,1.6559311106235166,1.4304121204569369,0.037586498392533654,44.2,6.0,0.03137254901960784,0.00784313725490196,10
29,1.6702774657478816,1.4217597547965715,0.04141962004801895,45.6125,6.0,0.03137254901960784,0.00784313725490196,10
30,1.626889770544028,1.3909367458729804,0.03932550353811511,46.65,6.0,0.03137254901960784,0.00784313725490196,10
31,1.6356977933569798,1.3736880172657062,0.04366829764993885,44.3375,6.0,0.03137254901960784,0.00784313725490196,10
32,1.638446963286098,1.3747193043745016,0.04395460974000677,42.125,6.0,0.03137254901960784,0.00784313725490196,10
33,1.61105998709232,1.3598561815068693,0.041867300915189934,51.7,6.0,0.03137254901960784,0.00784313725490196,10
34,1.5867714082138449,1.3123936109905001,0.04572963297272785,45.025,6.0,0.03137254901960784,0.00784313725490196,10
35,1.5664191834534271,1.2939787039273902,0.045406746760576586,49.175,6.0,0.03137254901960784,0.00784313725490196,10
36,1.5466291768641411,1.2670471607884275,0.046597002805033816,50.825,6.0,0.03137254901960784,0.00784313725490196,10
37,1.5395506484599053,1.243552046486094,0.04933309984169429,50.4125,6.0,0.03137254901960784,0.00784313725490196,10
38,1.5277104438105715,1.2305686805821672,0.04952362698467472,51.7625,6.0,0.03137254901960784,0.00784313725490196,10
39,1.5196364665333228,1.2165777713437624,0.05050978276737129,51.2375,6.0,0.03137254901960784,0.00784313725490196,10
40,1.4945726530461372,1.1851939657066441,0.05156311472948594,51.225,6.0,0.03137254901960784,0.00784313725490196,10
41,1.4670793632917767,1.1604756252675117,0.051100622249554986,51.2625,6.0,0.03137254901960784,0.00784313725490196,10
42,1.4781392405304727,1.155200645893435,0.05382309910617297,50.1375,6.0,0.03137254901960784,0.00784313725490196,10
43,1.454840738562089,1.126134836221043,0.05478431770130049,48.125,6.0,0.03137254901960784,0.00784313725490196,10
44,1.4227219140982326,1.1003126434133024,0.0537348796106592,53.375,6.0,0.03137254901960784,0.00784313725490196,10
45,1.4171663281283802,1.0873200629330888,0.05497437602357019,53.25,6.0,0.03137254901960784,0.00784313725490196,10
46,1.4051574710049206,1.0679320843913886,0.05620423147949991,53.625,6.0,0.03137254901960784,0.00784313725490196,10
47,1.3899006843566895,1.0467305892630467,0.057195014874391915,56.1,6.0,0.03137254901960784,0.00784313725490196,10
48,1.3938984870910645,1.0482020219670067,0.05761607670331303,56.2,6.0,0.03137254901960784,0.00784313725490196,10
49,1.4086611029468006,1.0497722414475452,0.0598148115545134,46.0375,6.0,0.03137254901960784,0.00784313725490196,10
50,1.3863089039355894,1.0399509721164462,0.057726321718360805,54.55,6.0,0.03137254901960784,0.00784313725490196,10
